snapshot_date,product_id,warehouse,stock,reorder_level,safety_stock,lead_time_days,units_sold_this_month
2022-01-01,PRD00202,WH-BLR,165,159,63,20,69
2022-01-01,PRD00382,WH-HYD,415,111,44,11,247
2022-01-01,PRD00797,WH-KOL,629,69,27,21,254
2022-01-01,PRD00562,WH-KOL,68,158,63,28,168
2022-01-01,PRD00265,WH-CHN,320,132,52,9,92
2022-01-01,PRD00240,WH-BLR,574,192,76,22,81
2022-01-01,PRD00218,WH-CHN,630,105,42,9,98
2022-01-01,PRD00571,WH-HYD,734,101,40,4,217
2022-01-01,PRD00590,WH-HYD,27,101,40,4,135
2022-01-01,PRD00561,WH-MUM,356,170,68,20,104
2022-01-01,PRD00149,WH-DEL,32,149,59,10,166
2022-01-01,PRD00767,WH-BLR,778,172,68,6,222
2022-01-01,PRD00150,WH-MUM,394,173,69,22,133
2022-01-01,PRD00386,WH-KOL,151,122,48,15,249
2022-01-01,PRD00277,WH-DEL,49,120,48,21,212
2022-01-01,PRD00553,WH-DEL,127,128,51,15,45
2022-01-01,PRD00352,WH-CHN,595,83,33,27,164
2022-01-01,PRD00775,WH-HYD,246,119,47,4,154
2022-01-01,PRD00658,WH-DEL,71,177,70,20,61
2022-01-01,PRD00340,WH-BLR,40,96,38,20,289
2022-01-01,PRD00487,WH-MUM,56,60,24,16,134
2022-01-01,PRD00047,WH-KOL,523,195,78,21,273
2022-01-01,PRD00722,WH-HYD,499,86,34,17,152
2022-01-01,PRD00101,WH-DEL,214,158,63,18,19
2022-01-01,PRD00397,WH-HYD,669,190,76,6,100
2022-01-01,PRD00191,WH-DEL,318,101,40,7,35
2022-01-01,PRD00623,WH-DEL,262,76,30,14,69
2022-01-01,PRD00043,WH-KOL,334,164,65,16,224
2022-01-01,PRD00331,WH-DEL,94,192,76,9,29
2022-01-01,PRD00596,WH-HYD,574,173,69,16,110
2022-01-01,PRD00088,WH-DEL,216,142,56,28,247
2022-01-01,PRD00422,WH-BLR,571,164,65,8,85
2022-01-01,PRD00255,WH-DEL,193,63,25,27,182
2022-01-01,PRD00024,WH-BLR,739,111,44,18,200
2022-01-01,PRD00273,WH-MUM,471,142,56,27,292
2022-01-01,PRD00744,WH-CHN,794,181,72,21,178
2022-01-01,PRD00661,WH-KOL,763,174,69,22,295
2022-01-01,PRD00541,WH-HYD,408,62,24,15,105
2022-01-01,PRD00733,WH-CHN,777,69,27,21,197
2022-01-01,PRD00349,WH-MUM,281,114,45,13,182
2022-01-01,PRD00574,WH-MUM,518,83,33,4,128
2022-01-01,PRD00198,WH-KOL,265,74,29,28,38
2022-01-01,PRD00010,WH-MUM,660,184,73,12,195
2022-01-01,PRD00286,WH-CHN,383,115,46,21,80
2022-01-01,PRD00461,WH-BLR,563,101,40,10,37
2022-01-01,PRD00293,WH-BLR,165,175,70,15,206
2022-01-01,PRD00748,WH-HYD,460,55,22,16,58
2022-01-01,PRD00437,WH-DEL,96,130,52,22,296
2022-01-01,PRD00098,WH-BLR,452,99,39,20,31
2022-01-01,PRD00219,WH-CHN,247,171,68,24,212
2022-01-01,PRD00486,WH-BLR,514,107,42,9,211
2022-01-01,PRD00576,WH-HYD,16,141,56,20,155
2022-01-01,PRD00241,WH-DEL,626,170,68,11,89
2022-01-01,PRD00794,WH-BLR,485,74,29,3,258
2022-01-01,PRD00488,WH-HYD,601,101,40,18,36
2022-01-01,PRD00019,WH-BLR,166,70,28,15,130
2022-01-01,PRD00368,WH-MUM,729,137,54,10,280
2022-01-01,PRD00452,WH-KOL,118,85,34,27,104
2022-01-01,PRD00143,WH-BLR,687,172,68,18,196
2022-01-01,PRD00600,WH-DEL,346,54,21,10,68
2022-01-01,PRD00415,WH-DEL,234,138,55,11,159
2022-01-01,PRD00737,WH-DEL,372,135,54,21,285
2022-01-01,PRD00678,WH-HYD,170,160,64,25,192
2022-01-01,PRD00758,WH-HYD,596,126,50,25,176
2022-01-01,PRD00646,WH-KOL,183,79,31,7,67
2022-01-01,PRD00455,WH-BLR,32,158,63,26,269
2022-01-01,PRD00153,WH-MUM,571,132,52,29,198
2022-01-01,PRD00684,WH-KOL,634,166,66,24,295
2022-01-01,PRD00430,WH-DEL,528,155,62,9,27
2022-01-01,PRD00660,WH-HYD,155,173,69,21,200
2022-01-01,PRD00069,WH-DEL,722,135,54,8,57
2022-01-01,PRD00690,WH-DEL,488,192,76,23,107
2022-01-01,PRD00390,WH-HYD,376,176,70,6,62
2022-01-01,PRD00560,WH-HYD,742,82,32,18,113
2022-01-01,PRD00183,WH-DEL,442,84,33,22,24
2022-01-01,PRD00608,WH-MUM,41,175,70,8,114
2022-01-01,PRD00243,WH-CHN,702,192,76,5,135
2022-01-01,PRD00739,WH-MUM,490,130,52,3,249
2022-01-01,PRD00788,WH-BLR,473,53,21,24,70
2022-01-01,PRD00317,WH-MUM,789,178,71,3,99
2022-01-01,PRD00266,WH-DEL,299,119,47,12,258
2022-01-01,PRD00100,WH-DEL,345,120,48,15,295
2022-01-01,PRD00257,WH-HYD,262,111,44,9,59
2022-01-01,PRD00497,WH-MUM,40,181,72,25,215
2022-01-01,PRD00720,WH-KOL,327,93,37,6,21
2022-01-01,PRD00449,WH-DEL,520,150,60,14,104
2022-01-01,PRD00477,WH-MUM,782,142,56,11,9
2022-01-01,PRD00071,WH-KOL,744,86,34,17,105
2022-01-01,PRD00747,WH-CHN,399,102,40,3,169
2022-01-01,PRD00347,WH-BLR,339,73,29,26,250
2022-01-01,PRD00082,WH-MUM,57,103,41,13,263
2022-01-01,PRD00132,WH-MUM,271,65,26,3,24
2022-01-01,PRD00172,WH-CHN,569,59,23,10,296
2022-01-01,PRD00579,WH-MUM,278,190,76,8,135
2022-01-01,PRD00489,WH-BLR,602,51,20,19,149
2022-01-01,PRD00793,WH-DEL,236,63,25,13,130
2022-01-01,PRD00762,WH-BLR,543,56,22,25,199
2022-01-01,PRD00439,WH-DEL,150,85,34,15,286
2022-01-01,PRD00126,WH-CHN,582,175,70,19,189
2022-01-01,PRD00628,WH-BLR,68,96,38,22,204
2022-01-01,PRD00014,WH-HYD,211,152,60,17,262
2022-01-01,PRD00669,WH-BLR,201,99,39,8,226
2022-01-01,PRD00142,WH-CHN,520,57,22,21,63
2022-01-01,PRD00770,WH-BLR,84,71,28,15,135
2022-01-01,PRD00534,WH-DEL,726,111,44,6,153
2022-01-01,PRD00527,WH-KOL,18,104,41,17,106
2022-01-01,PRD00305,WH-KOL,66,55,22,14,297
2022-01-01,PRD00481,WH-CHN,272,54,21,18,258
2022-01-01,PRD00665,WH-MUM,469,163,65,3,30
2022-01-01,PRD00083,WH-DEL,620,57,22,24,107
2022-01-01,PRD00425,WH-HYD,765,91,36,14,99
2022-01-01,PRD00081,WH-CHN,276,154,61,3,150
2022-01-01,PRD00084,WH-CHN,581,143,57,28,259
2022-01-01,PRD00369,WH-BLR,348,153,61,11,211
2022-01-01,PRD00650,WH-KOL,751,103,41,27,295
2022-01-01,PRD00610,WH-KOL,762,109,43,14,127
2022-01-01,PRD00325,WH-HYD,356,63,25,20,68
2022-01-01,PRD00161,WH-MUM,373,95,38,27,194
2022-01-01,PRD00013,WH-BLR,122,150,60,24,52
2022-01-01,PRD00195,WH-HYD,9,74,29,23,187
2022-01-01,PRD00288,WH-BLR,209,137,54,18,106
2022-01-01,PRD00710,WH-BLR,791,88,35,16,266
2022-01-01,PRD00192,WH-MUM,247,193,77,13,245
2022-01-01,PRD00283,WH-CHN,758,140,56,20,41
2022-01-01,PRD00095,WH-CHN,443,87,34,21,78
2022-01-01,PRD00018,WH-BLR,747,125,50,20,121
2022-01-01,PRD00691,WH-KOL,523,180,72,13,97
2022-01-01,PRD00216,WH-DEL,363,169,67,29,299
2022-01-01,PRD00676,WH-MUM,90,154,61,28,267
2022-01-01,PRD00329,WH-BLR,224,62,24,11,49
2022-01-01,PRD00493,WH-BLR,256,188,75,26,106
2022-01-01,PRD00182,WH-HYD,225,136,54,22,53
2022-01-01,PRD00423,WH-CHN,31,130,52,10,42
2022-01-01,PRD00217,WH-CHN,445,128,51,26,199
2022-01-01,PRD00402,WH-DEL,284,122,48,14,294
2022-01-01,PRD00141,WH-KOL,250,116,46,21,290
2022-01-01,PRD00515,WH-BLR,269,55,22,27,86
2022-01-01,PRD00139,WH-KOL,27,188,75,4,269
2022-01-01,PRD00532,WH-KOL,795,105,42,14,233
2022-01-01,PRD00321,WH-BLR,787,172,68,19,295
2022-01-01,PRD00401,WH-DEL,397,53,21,14,204
2022-01-01,PRD00173,WH-DEL,717,111,44,18,93
2022-01-01,PRD00409,WH-KOL,371,177,70,18,94
2022-01-01,PRD00028,WH-HYD,68,80,32,28,51
2022-01-01,PRD00212,WH-DEL,642,178,71,27,258
2022-01-01,PRD00370,WH-BLR,535,70,28,20,295
2022-01-01,PRD00543,WH-DEL,737,157,62,22,258
2022-01-01,PRD00204,WH-MUM,76,112,44,6,86
2022-01-01,PRD00761,WH-MUM,575,146,58,29,272
2022-01-01,PRD00570,WH-DEL,244,161,64,17,296
2022-01-01,PRD00451,WH-HYD,67,142,56,25,235
2022-01-01,PRD00146,WH-MUM,497,137,54,3,11
2022-01-01,PRD00671,WH-BLR,682,91,36,21,201
2022-01-01,PRD00031,WH-MUM,687,68,27,3,10
2022-01-01,PRD00582,WH-MUM,184,132,52,23,72
2022-01-01,PRD00125,WH-DEL,477,93,37,24,280
2022-01-01,PRD00723,WH-KOL,356,195,78,15,275
2022-01-01,PRD00167,WH-KOL,742,64,25,24,224
2022-01-01,PRD00573,WH-BLR,627,164,65,3,236
2022-01-01,PRD00359,WH-HYD,551,152,60,22,41
2022-01-01,PRD00385,WH-MUM,758,141,56,26,39
2022-01-01,PRD00174,WH-BLR,397,171,68,23,74
2022-01-01,PRD00232,WH-MUM,206,50,20,22,262
2022-01-01,PRD00294,WH-CHN,499,130,52,8,63
2022-01-01,PRD00713,WH-MUM,23,99,39,25,230
2022-01-01,PRD00525,WH-MUM,27,191,76,21,262
2022-01-01,PRD00376,WH-CHN,103,103,41,24,299
2022-01-01,PRD00073,WH-MUM,2,197,78,26,15
2022-01-01,PRD00577,WH-MUM,120,54,21,22,21
2022-01-01,PRD00464,WH-HYD,700,50,20,20,51
2022-01-01,PRD00688,WH-BLR,0,126,50,25,57
2022-01-01,PRD00530,WH-MUM,597,90,36,10,131
2022-01-01,PRD00627,WH-HYD,128,87,34,28,72
2022-01-01,PRD00687,WH-MUM,242,159,63,8,119
2022-01-01,PRD00075,WH-HYD,23,89,35,26,143
2022-01-01,PRD00705,WH-CHN,279,136,54,28,81
2022-01-01,PRD00719,WH-KOL,764,66,26,23,30
2022-01-01,PRD00302,WH-CHN,114,74,29,15,98
2022-01-01,PRD00524,WH-DEL,718,63,25,23,203
2022-01-01,PRD00508,WH-CHN,147,163,65,12,36
2022-01-01,PRD00786,WH-HYD,471,112,44,7,172
2022-01-01,PRD00118,WH-DEL,554,136,54,23,206
2022-01-01,PRD00629,WH-KOL,162,195,78,18,152
2022-01-01,PRD00766,WH-CHN,299,150,60,29,121
2022-01-01,PRD00296,WH-MUM,2,84,33,19,125
2022-01-01,PRD00632,WH-KOL,724,182,72,9,230
2022-01-01,PRD00063,WH-HYD,345,181,72,6,181
2022-01-01,PRD00252,WH-CHN,593,66,26,14,108
2022-01-01,PRD00128,WH-BLR,110,179,71,29,134
2022-01-01,PRD00460,WH-BLR,178,102,40,8,72
2022-01-01,PRD00558,WH-MUM,799,189,75,6,187
2022-01-01,PRD00784,WH-DEL,287,174,69,6,18
2022-01-01,PRD00674,WH-BLR,416,148,59,27,151
2022-01-01,PRD00701,WH-HYD,788,60,24,7,118
2022-01-01,PRD00721,WH-BLR,338,192,76,18,67
2022-01-01,PRD00271,WH-BLR,416,193,77,16,159
2022-01-01,PRD00136,WH-KOL,132,88,35,17,233
2022-01-01,PRD00137,WH-BLR,115,183,73,24,84
2022-01-01,PRD00224,WH-BLR,790,145,58,8,225
2022-01-01,PRD00230,WH-CHN,179,87,34,12,207
2022-01-01,PRD00649,WH-BLR,205,112,44,21,104
2022-01-01,PRD00312,WH-BLR,54,116,46,25,241
2022-01-01,PRD00188,WH-DEL,161,72,28,21,250
2022-01-01,PRD00077,WH-HYD,551,115,46,27,296
2022-01-01,PRD00170,WH-HYD,214,82,32,20,178
2022-01-01,PRD00640,WH-HYD,598,132,52,10,11
2022-01-01,PRD00638,WH-KOL,600,80,32,10,23
2022-01-01,PRD00696,WH-CHN,137,52,20,7,206
2022-01-01,PRD00594,WH-HYD,382,113,45,19,99
2022-01-01,PRD00276,WH-CHN,688,165,66,9,163
2022-01-01,PRD00060,WH-BLR,238,80,32,7,176
2022-01-01,PRD00769,WH-DEL,577,181,72,22,115
2022-01-01,PRD00433,WH-DEL,129,147,58,22,92
2022-01-01,PRD00633,WH-HYD,667,176,70,15,238
2022-01-01,PRD00763,WH-DEL,280,132,52,22,98
2022-01-01,PRD00155,WH-KOL,718,63,25,25,182
2022-01-01,PRD00458,WH-DEL,206,161,64,29,269
2022-01-01,PRD00517,WH-KOL,632,110,44,22,286
2022-01-01,PRD00324,WH-DEL,328,148,59,11,9
2022-01-01,PRD00731,WH-MUM,661,79,31,4,176
2022-01-01,PRD00495,WH-CHN,379,139,55,20,124
2022-01-01,PRD00316,WH-DEL,414,135,54,12,100
2022-01-01,PRD00567,WH-CHN,133,55,22,27,223
2022-01-01,PRD00026,WH-CHN,407,190,76,10,128
2022-01-01,PRD00030,WH-HYD,233,173,69,12,261
2022-01-01,PRD00732,WH-KOL,81,162,64,13,214
2022-01-01,PRD00226,WH-BLR,464,139,55,25,148
2022-01-01,PRD00601,WH-MUM,724,68,27,16,126
2022-01-01,PRD00612,WH-DEL,274,82,32,27,150
2022-01-01,PRD00622,WH-CHN,8,191,76,10,197
2022-01-01,PRD00260,WH-CHN,703,59,23,20,31
2022-01-01,PRD00354,WH-BLR,192,108,43,12,95
2022-01-01,PRD00545,WH-CHN,524,182,72,13,98
2022-01-01,PRD00764,WH-DEL,306,99,39,11,296
2022-01-01,PRD00502,WH-CHN,110,146,58,15,87
2022-01-01,PRD00323,WH-MUM,576,198,79,25,246
2022-01-01,PRD00383,WH-HYD,614,178,71,5,295
2022-01-01,PRD00337,WH-DEL,556,68,27,13,124
2022-01-01,PRD00291,WH-CHN,158,178,71,3,62
2022-01-01,PRD00175,WH-BLR,733,72,28,5,162
2022-01-01,PRD00749,WH-CHN,341,63,25,9,112
2022-01-01,PRD00521,WH-HYD,637,69,27,28,176
2022-01-01,PRD00663,WH-MUM,145,128,51,21,163
2022-01-01,PRD00006,WH-HYD,267,169,67,4,100
2022-01-01,PRD00536,WH-DEL,697,81,32,17,296
2022-01-01,PRD00514,WH-DEL,296,72,28,28,199
2022-01-01,PRD00334,WH-MUM,507,60,24,4,279
2022-01-01,PRD00200,WH-MUM,442,111,44,3,148
2022-01-01,PRD00715,WH-BLR,198,126,50,5,83
2022-01-01,PRD00364,WH-DEL,186,142,56,12,138
2022-01-01,PRD00785,WH-DEL,321,146,58,16,251
2022-01-01,PRD00238,WH-HYD,301,141,56,14,34
2022-01-01,PRD00327,WH-KOL,392,185,74,24,85
2022-01-01,PRD00544,WH-DEL,351,137,54,24,100
2022-01-01,PRD00442,WH-DEL,30,146,58,27,38
2022-01-01,PRD00609,WH-HYD,722,139,55,13,86
2022-01-01,PRD00800,WH-HYD,699,103,41,7,93
2022-01-01,PRD00651,WH-HYD,541,154,61,23,121
2022-01-01,PRD00554,WH-BLR,191,110,44,6,216
2022-01-01,PRD00015,WH-BLR,176,181,72,15,57
2022-01-01,PRD00228,WH-DEL,277,89,35,15,121
2022-01-01,PRD00186,WH-HYD,131,115,46,3,63
2022-01-01,PRD00274,WH-BLR,1,78,31,10,182
2022-01-01,PRD00099,WH-DEL,68,51,20,28,20
2022-01-01,PRD00512,WH-MUM,397,150,60,13,42
2022-01-01,PRD00795,WH-KOL,89,128,51,29,198
2022-01-01,PRD00164,WH-DEL,361,111,44,20,39
2022-01-01,PRD00176,WH-BLR,143,51,20,4,129
2022-01-01,PRD00227,WH-MUM,405,63,25,17,161
2022-01-01,PRD00393,WH-BLR,217,60,24,6,66
2022-01-01,PRD00424,WH-MUM,292,134,53,23,216
2022-01-01,PRD00065,WH-KOL,756,115,46,26,133
2022-01-01,PRD00712,WH-HYD,546,78,31,19,25
2022-01-01,PRD00427,WH-BLR,130,188,75,13,134
2022-01-01,PRD00407,WH-BLR,31,63,25,19,247
2022-01-01,PRD00572,WH-BLR,492,131,52,18,245
2022-01-01,PRD00152,WH-BLR,583,101,40,26,267
2022-01-01,PRD00319,WH-CHN,264,128,51,6,126
2022-01-01,PRD00111,WH-MUM,410,119,47,14,104
2022-01-01,PRD00328,WH-BLR,320,80,32,19,206
2022-01-01,PRD00372,WH-CHN,387,139,55,12,266
2022-01-01,PRD00698,WH-KOL,55,74,29,24,40
2022-01-01,PRD00011,WH-HYD,25,102,40,26,41
2022-01-01,PRD00045,WH-HYD,355,84,33,10,22
2022-01-01,PRD00605,WH-DEL,745,130,52,14,22
2022-01-01,PRD00194,WH-DEL,503,183,73,14,82
2022-01-01,PRD00004,WH-MUM,450,148,59,27,239
2022-01-01,PRD00314,WH-KOL,309,63,25,13,140
2022-01-01,PRD00162,WH-BLR,171,89,35,4,134
2022-01-01,PRD00344,WH-KOL,577,67,26,12,67
2022-01-01,PRD00411,WH-HYD,32,103,41,14,219
2022-01-01,PRD00471,WH-MUM,649,155,62,24,90
2022-01-01,PRD00285,WH-KOL,389,177,70,14,276
2022-01-01,PRD00239,WH-MUM,32,56,22,28,287
2022-01-01,PRD00655,WH-CHN,235,79,31,17,12
2022-01-01,PRD00679,WH-BLR,119,183,73,7,53
2022-01-01,PRD00413,WH-DEL,52,165,66,13,281
2022-01-01,PRD00062,WH-MUM,764,59,23,25,12
2022-01-01,PRD00281,WH-KOL,279,52,20,26,51
2022-01-01,PRD00586,WH-KOL,42,190,76,18,177
2022-01-01,PRD00668,WH-CHN,629,140,56,18,53
2022-01-01,PRD00102,WH-HYD,156,78,31,17,245
2022-01-01,PRD00533,WH-HYD,318,174,69,26,52
2022-01-01,PRD00046,WH-KOL,146,67,26,26,190
2022-01-01,PRD00606,WH-HYD,424,146,58,17,152
2022-01-01,PRD00642,WH-MUM,656,57,22,22,251
2022-01-01,PRD00760,WH-KOL,645,134,53,13,32
2022-01-01,PRD00044,WH-KOL,654,136,54,28,261
2022-01-01,PRD00695,WH-HYD,183,146,58,5,117
2022-01-01,PRD00279,WH-HYD,419,133,53,5,114
2022-01-01,PRD00358,WH-DEL,708,199,79,26,97
2022-01-01,PRD00145,WH-DEL,82,157,62,25,237
2022-01-01,PRD00624,WH-MUM,496,97,38,13,259
2022-01-01,PRD00621,WH-BLR,435,197,78,16,243
2022-01-01,PRD00299,WH-HYD,273,68,27,26,284
2022-01-01,PRD00662,WH-MUM,792,63,25,18,102
2022-01-01,PRD00432,WH-BLR,239,198,79,5,237
2022-01-01,PRD00272,WH-KOL,576,180,72,29,67
2022-01-01,PRD00503,WH-DEL,775,101,40,18,126
2022-01-01,PRD00055,WH-HYD,489,174,69,14,136
2022-01-01,PRD00206,WH-DEL,496,143,57,6,9
2022-01-01,PRD00709,WH-MUM,222,101,40,3,132
2022-01-01,PRD00568,WH-BLR,718,89,35,3,211
2022-01-01,PRD00387,WH-HYD,462,158,63,24,80
2022-01-01,PRD00246,WH-DEL,674,194,77,29,198
2022-01-01,PRD00345,WH-HYD,484,69,27,7,57
2022-01-01,PRD00666,WH-BLR,459,141,56,21,286
2022-01-01,PRD00361,WH-DEL,452,171,68,7,286
2022-01-01,PRD00053,WH-HYD,693,136,54,19,30
2022-01-01,PRD00472,WH-CHN,681,196,78,24,184
2022-01-01,PRD00652,WH-HYD,721,119,47,21,103
2022-02-01,PRD00675,WH-MUM,720,133,53,26,133
2022-02-01,PRD00634,WH-KOL,196,108,43,3,276
2022-02-01,PRD00205,WH-BLR,65,77,30,18,273
2022-02-01,PRD00012,WH-CHN,275,120,48,27,234
2022-02-01,PRD00177,WH-DEL,594,193,77,28,158
2022-02-01,PRD00144,WH-CHN,639,86,34,22,249
2022-02-01,PRD00454,WH-HYD,219,52,20,5,120
2022-02-01,PRD00147,WH-HYD,362,169,67,3,167
2022-02-01,PRD00740,WH-MUM,325,64,25,6,22
2022-02-01,PRD00511,WH-MUM,122,80,32,9,62
2022-02-01,PRD00575,WH-BLR,171,158,63,21,220
2022-02-01,PRD00009,WH-KOL,789,174,69,6,44
2022-02-01,PRD00528,WH-CHN,646,149,59,4,23
2022-02-01,PRD00750,WH-DEL,159,149,59,13,213
2022-02-01,PRD00469,WH-KOL,613,103,41,9,192
2022-02-01,PRD00412,WH-MUM,96,174,69,9,261
2022-02-01,PRD00796,WH-DEL,718,69,27,14,190
2022-02-01,PRD00213,WH-KOL,114,62,24,29,241
2022-02-01,PRD00123,WH-KOL,11,101,40,24,168
2022-02-01,PRD00448,WH-CHN,789,187,74,17,286
2022-02-01,PRD00168,WH-MUM,796,53,21,14,61
2022-02-01,PRD00339,WH-MUM,799,107,42,20,171
2022-02-01,PRD00620,WH-BLR,515,170,68,8,143
2022-02-01,PRD00659,WH-HYD,571,96,38,9,293
2022-02-01,PRD00338,WH-KOL,701,178,71,7,145
2022-02-01,PRD00614,WH-KOL,65,92,36,25,44
2022-02-01,PRD00768,WH-BLR,13,149,59,23,222
2022-02-01,PRD00555,WH-CHN,556,134,53,21,79
2022-02-01,PRD00050,WH-CHN,149,115,46,21,262
2022-02-01,PRD00485,WH-KOL,59,50,20,14,297
2022-02-01,PRD00067,WH-CHN,685,63,25,4,15
2022-02-01,PRD00135,WH-HYD,357,186,74,21,177
2022-02-01,PRD00396,WH-CHN,755,117,46,10,187
2022-02-01,PRD00366,WH-HYD,57,50,20,4,289
2022-02-01,PRD00482,WH-MUM,225,179,71,23,88
2022-02-01,PRD00297,WH-DEL,629,101,40,18,148
2022-02-01,PRD00435,WH-BLR,296,113,45,24,33
2022-02-01,PRD00416,WH-HYD,352,115,46,26,297
2022-02-01,PRD00643,WH-DEL,651,158,63,17,125
2022-02-01,PRD00513,WH-MUM,394,57,22,25,158
2022-02-01,PRD00429,WH-HYD,590,70,28,27,98
2022-02-01,PRD00616,WH-HYD,74,196,78,16,104
2022-02-01,PRD00724,WH-MUM,561,166,66,14,14
2022-02-01,PRD00745,WH-KOL,738,128,51,9,133
2022-02-01,PRD00473,WH-KOL,27,69,27,19,265
2022-02-01,PRD00187,WH-DEL,39,113,45,16,184
2022-02-01,PRD00506,WH-CHN,8,111,44,28,58
2022-02-01,PRD00538,WH-KOL,668,135,54,18,175
2022-02-01,PRD00244,WH-MUM,628,187,74,14,220
2022-02-01,PRD00670,WH-CHN,462,91,36,26,179
2022-02-01,PRD00076,WH-MUM,258,90,36,16,86
2022-02-01,PRD00526,WH-MUM,310,61,24,18,80
2022-02-01,PRD00742,WH-BLR,156,59,23,23,123
2022-02-01,PRD00728,WH-CHN,449,50,20,13,286
2022-02-01,PRD00295,WH-CHN,746,117,46,26,270
2022-02-01,PRD00105,WH-HYD,469,116,46,10,292
2022-02-01,PRD00392,WH-CHN,333,145,58,21,221
2022-02-01,PRD00585,WH-DEL,128,145,58,29,288
2022-02-01,PRD00225,WH-KOL,633,77,30,3,295
2022-02-01,PRD00103,WH-HYD,102,163,65,11,252
2022-02-01,PRD00180,WH-DEL,719,142,56,15,263
2022-02-01,PRD00223,WH-MUM,78,165,66,18,225
2022-02-01,PRD00563,WH-KOL,326,132,52,7,190
