product_id,product_name,category,subcategory,brand,price,cost_price,launch_date,is_active
PRD00126,Audio Item 126,Electronics,Audio,Titan,23904.54,12843.03,2021-10-06,1
PRD00127,Storage Item 127,Home & Kitchen,Storage,Bata,6103.22,3686.08,2023-01-31,1
PRD00128,Mens Wear Item 128,Fashion,Mens Wear,Puma,1579.62,888.94,2023-09-26,1
PRD00129,Sportswear Item 129,Sports & Fitness,Sportswear,Prestige,5072.61,3638.8,2020-01-29,1
PRD00130,Footwear Item 130,Fashion,Footwear,Samsung,4315.94,2875.01,2023-11-02,1
PRD00131,Staples Item 131,Grocery,Staples,Titan,63.26,28.84,2023-05-17,1
PRD00132,Decor Item 132,Home & Kitchen,Decor,Puma,1202.36,743.76,2023-08-04,1
PRD00133,Nutrition Item 133,Sports & Fitness,Nutrition,Puma,11921.5,7070.58,2022-07-13,1
PRD00134,Sportswear Item 134,Sports & Fitness,Sportswear,LG,7413.61,5397.64,2022-06-15,1
PRD00135,Mens Wear Item 135,Fashion,Mens Wear,IKEA,7683.31,4546.02,2023-09-30,0
PRD00136,Staples Item 136,Grocery,Staples,Nike,1997.61,1390.69,2022-06-04,1
PRD00137,Accessories Item 137,Electronics,Accessories,Prestige,38676.14,18266.76,2020-11-14,1
PRD00138,Footwear Item 138,Fashion,Footwear,Samsung,2292.07,1656.89,2021-04-28,1
PRD00139,Sportswear Item 139,Sports & Fitness,Sportswear,Puma,14419.05,9898.11,2019-10-10,1
PRD00140,Kids Wear Item 140,Fashion,Kids Wear,Titan,6064.98,4540.4,2022-10-28,0
PRD00141,Audio Item 141,Electronics,Audio,Puma,7995.82,5942.79,2023-09-29,1
PRD00142,Personal Care Item 142,Grocery,Personal Care,Nike,469.98,226.12,2022-03-15,1
PRD00143,Beverages Item 143,Grocery,Beverages,IKEA,754.53,524.52,2022-07-26,1
PRD00144,Kids Wear Item 144,Fashion,Kids Wear,LG,2145.27,1276.98,2020-02-23,1
PRD00145,Kids Wear Item 145,Fashion,Kids Wear,Titan,5732.27,2965.39,2020-10-02,1
PRD00146,Audio Item 146,Electronics,Audio,Bata,38854.43,18412.4,2023-10-22,1
PRD00147,Accessories Item 147,Electronics,Accessories,IKEA,18915.75,11821.05,2023-11-25,1
PRD00148,Kids Wear Item 148,Fashion,Kids Wear,Whirlpool,3825.83,2388.71,2020-12-13,1
PRD00149,Outdoor Item 149,Sports & Fitness,Outdoor,Bata,8345.2,4626.71,2021-10-24,1
PRD00150,Kids Wear Item 150,Fashion,Kids Wear,Sony,2771.68,1391.13,2022-03-28,1
PRD00151,Dairy Item 151,Grocery,Dairy,Himalaya,1647.07,915.84,2023-09-17,1
PRD00152,Cycling Item 152,Sports & Fitness,Cycling,Nestlé,3045.42,2068.32,2020-10-19,1
PRD00153,Appliances Item 153,Home & Kitchen,Appliances,Puma,29506.89,16864.14,2021-03-19,1
PRD00154,Cookware Item 154,Home & Kitchen,Cookware,Nestlé,2297.2,1713.59,2022-04-17,1
PRD00155,Beverages Item 155,Grocery,Beverages,Nike,846.44,619.04,2019-03-15,1
PRD00156,Accessories Item 156,Electronics,Accessories,Prestige,26608.42,14001.23,2021-10-24,1
PRD00157,Dairy Item 157,Grocery,Dairy,Titan,442.81,295.23,2023-10-21,1
PRD00158,Audio Item 158,Electronics,Audio,Nike,65471.67,45178.15,2021-10-13,1
PRD00159,Snacks Item 159,Grocery,Snacks,LG,548.25,317.8,2020-04-05,1
PRD00160,Snacks Item 160,Grocery,Snacks,Puma,1296.08,704.87,2019-12-21,1
PRD00161,Nutrition Item 161,Sports & Fitness,Nutrition,Puma,6255.9,3145.51,2020-04-18,1
PRD00162,Tablets Item 162,Electronics,Tablets,Decathlon,22608.62,16847.31,2023-05-24,1
PRD00163,Fitness Equipment Item 163,Sports & Fitness,Fitness Equipment,Adidas,1745.35,1104.64,2022-02-17,1
PRD00164,Accessories Item 164,Fashion,Accessories,IKEA,315.99,173.84,2020-06-06,1
PRD00165,Laptops Item 165,Electronics,Laptops,Apple,47673.8,27812.34,2020-06-26,1
PRD00166,Cookware Item 166,Home & Kitchen,Cookware,Whirlpool,27917.63,16785.19,2020-03-16,1
PRD00167,Kids Wear Item 167,Fashion,Kids Wear,Samsung,1326.29,777.9,2019-11-22,1
PRD00168,Laptops Item 168,Electronics,Laptops,Puma,67560.94,32712.32,2023-11-23,1
PRD00169,Furniture Item 169,Home & Kitchen,Furniture,Nestlé,19533.66,13517.92,2019-05-13,1
PRD00170,Storage Item 170,Home & Kitchen,Storage,Nike,26039.04,14003.71,2020-10-11,1
PRD00171,Kids Wear Item 171,Fashion,Kids Wear,Samsung,6421.59,3088.56,2022-10-13,1
PRD00172,Nutrition Item 172,Sports & Fitness,Nutrition,Sony,7115.46,5145.9,2022-01-20,1
PRD00173,Personal Care Item 173,Grocery,Personal Care,Decathlon,169.05,107.59,2019-05-08,1
PRD00174,Outdoor Item 174,Sports & Fitness,Outdoor,Prestige,5898.86,4107.63,2023-05-08,1
PRD00175,Snacks Item 175,Grocery,Snacks,Adidas,1477.12,1045.01,2021-10-14,1
PRD00176,Outdoor Item 176,Sports & Fitness,Outdoor,Adidas,11878.62,8661.91,2019-04-07,0
PRD00177,Smartphones Item 177,Electronics,Smartphones,Whirlpool,62859.29,34845.09,2019-03-07,1
PRD00178,Beverages Item 178,Grocery,Beverages,Whirlpool,1761.06,860.29,2020-11-01,1
PRD00179,Snacks Item 179,Grocery,Snacks,Nike,889.48,457.01,2019-07-29,1
PRD00180,Cookware Item 180,Home & Kitchen,Cookware,Apple,2031.01,1196.44,2019-08-18,0
PRD00181,Appliances Item 181,Home & Kitchen,Appliances,Titan,12179.63,5722.19,2021-04-17,0
PRD00182,Nutrition Item 182,Sports & Fitness,Nutrition,Adidas,5458.2,3683.54,2022-10-01,1
PRD00183,Accessories Item 183,Fashion,Accessories,Sony,1264.43,607.89,2023-08-07,1
PRD00184,Nutrition Item 184,Sports & Fitness,Nutrition,Prestige,6845.76,4095.09,2020-03-13,1
PRD00185,Decor Item 185,Home & Kitchen,Decor,Himalaya,4461.92,3181.96,2021-02-14,1
PRD00186,Personal Care Item 186,Grocery,Personal Care,Nestlé,523.43,364.39,2023-01-11,1
PRD00187,Cookware Item 187,Home & Kitchen,Cookware,Himalaya,10534.9,5029.42,2023-08-17,1
PRD00188,Dairy Item 188,Grocery,Dairy,Nestlé,392.7,223.97,2021-04-18,1
PRD00189,Dairy Item 189,Grocery,Dairy,Whirlpool,236.79,164.77,2019-08-13,1
PRD00190,Footwear Item 190,Fashion,Footwear,Decathlon,2411.44,1403.99,2021-09-14,1
PRD00191,Personal Care Item 191,Grocery,Personal Care,Decathlon,1788.37,993.88,2019-10-10,1
PRD00192,Mens Wear Item 192,Fashion,Mens Wear,Samsung,6911.22,3270.55,2022-12-20,1
PRD00193,Tablets Item 193,Electronics,Tablets,Decathlon,45487.42,28906.6,2023-05-21,1
PRD00194,Beverages Item 194,Grocery,Beverages,Titan,131.3,78.67,2020-06-19,1
PRD00195,Furniture Item 195,Home & Kitchen,Furniture,Titan,13186.89,6066.33,2023-02-10,1
PRD00196,Snacks Item 196,Grocery,Snacks,LG,451.1,209.5,2021-04-24,1
PRD00197,Tablets Item 197,Electronics,Tablets,Puma,73225.58,52981.31,2019-01-16,1
PRD00198,Mens Wear Item 198,Fashion,Mens Wear,Samsung,3000.99,2030.01,2019-04-25,0
PRD00199,Nutrition Item 199,Sports & Fitness,Nutrition,Apple,14764.52,11002.21,2019-10-24,1
PRD00200,Decor Item 200,Home & Kitchen,Decor,LG,13951.03,7389.94,2023-04-11,1
PRD00201,Sportswear Item 201,Sports & Fitness,Sportswear,Prestige,13623.39,7042.28,2019-10-03,1
PRD00202,Cycling Item 202,Sports & Fitness,Cycling,LG,7909.11,4005.89,2022-02-09,1
PRD00203,Mens Wear Item 203,Fashion,Mens Wear,Nike,4263.84,2936.39,2023-07-22,1
PRD00204,Accessories Item 204,Fashion,Accessories,Titan,1818.31,1115.52,2019-03-09,0
PRD00205,Beverages Item 205,Grocery,Beverages,Apple,266.74,163.03,2021-11-10,1
PRD00206,Accessories Item 206,Electronics,Accessories,Titan,3694.28,2140.08,2022-04-26,1
PRD00207,Staples Item 207,Grocery,Staples,Puma,343.96,155.49,2021-06-28,0
PRD00208,Sportswear Item 208,Sports & Fitness,Sportswear,Puma,3805.5,2026.46,2022-08-13,1
PRD00209,Cycling Item 209,Sports & Fitness,Cycling,Prestige,9533.4,4912.8,2021-11-01,1
PRD00210,Beverages Item 210,Grocery,Beverages,Sony,909.56,456.99,2021-03-23,1
PRD00211,Appliances Item 211,Home & Kitchen,Appliances,Himalaya,2391.62,1270.98,2021-11-18,1
PRD00212,Beverages Item 212,Grocery,Beverages,Adidas,75.68,40.86,2021-01-23,1
PRD00213,Snacks Item 213,Grocery,Snacks,Nike,1311.52,931.92,2021-05-23,1
PRD00214,Laptops Item 214,Electronics,Laptops,Puma,68515.29,47680.0,2021-09-11,1
PRD00215,Smartphones Item 215,Electronics,Smartphones,Titan,72436.29,34420.91,2022-01-26,1
PRD00216,Accessories Item 216,Electronics,Accessories,Samsung,72355.01,39059.18,2020-06-25,1
PRD00217,Beverages Item 217,Grocery,Beverages,Bata,769.06,367.43,2020-01-21,0
PRD00218,Furniture Item 218,Home & Kitchen,Furniture,Prestige,21385.34,15950.32,2019-11-07,1
PRD00219,Smartphones Item 219,Electronics,Smartphones,Whirlpool,49619.85,30974.23,2019-05-10,1
PRD00220,Accessories Item 220,Fashion,Accessories,LG,3733.33,2364.48,2020-11-13,1
PRD00221,Snacks Item 221,Grocery,Snacks,Decathlon,1992.52,1276.17,2022-12-02,1
PRD00222,Beverages Item 222,Grocery,Beverages,LG,1784.22,1022.86,2020-03-25,1
PRD00223,Sportswear Item 223,Sports & Fitness,Sportswear,IKEA,2335.82,1071.3,2020-07-09,1
PRD00224,Laptops Item 224,Electronics,Laptops,Adidas,26418.63,14424.7,2022-07-11,0
PRD00225,Outdoor Item 225,Sports & Fitness,Outdoor,Himalaya,12803.4,8313.27,2021-04-22,1
PRD00226,Tablets Item 226,Electronics,Tablets,Decathlon,2281.99,1324.9,2022-01-11,1
PRD00227,Audio Item 227,Electronics,Audio,Nike,54080.66,38580.79,2023-06-21,1
PRD00228,Beverages Item 228,Grocery,Beverages,IKEA,372.21,193.93,2021-01-01,1
PRD00229,Storage Item 229,Home & Kitchen,Storage,Adidas,8045.69,3690.97,2023-07-01,1
PRD00230,Cookware Item 230,Home & Kitchen,Cookware,Decathlon,2049.55,1142.88,2020-07-04,1
PRD00231,Mens Wear Item 231,Fashion,Mens Wear,Samsung,4657.06,3309.72,2019-02-19,1
PRD00232,Snacks Item 232,Grocery,Snacks,LG,1444.22,733.22,2023-11-18,1
PRD00233,Womens Wear Item 233,Fashion,Womens Wear,Nike,4404.53,2823.86,2023-05-06,1
PRD00234,Womens Wear Item 234,Fashion,Womens Wear,Titan,7460.5,4357.4,2023-03-05,1
PRD00235,Audio Item 235,Electronics,Audio,Adidas,30949.85,22595.69,2022-04-24,1
PRD00236,Cookware Item 236,Home & Kitchen,Cookware,Nestlé,29543.45,16474.22,2020-12-04,1
PRD00237,Smartphones Item 237,Electronics,Smartphones,Titan,13769.05,10180.1,2019-05-01,1
PRD00238,Snacks Item 238,Grocery,Snacks,Adidas,29.64,21.27,2019-11-29,1
PRD00239,Tablets Item 239,Electronics,Tablets,Sony,40371.48,26460.18,2022-04-12,1
PRD00240,Appliances Item 240,Home & Kitchen,Appliances,Himalaya,6521.21,2972.99,2022-04-30,1
PRD00241,Womens Wear Item 241,Fashion,Womens Wear,Nike,5537.93,3169.81,2023-04-14,1
PRD00242,Staples Item 242,Grocery,Staples,Titan,82.4,52.47,2021-05-07,0
PRD00243,Storage Item 243,Home & Kitchen,Storage,Titan,24403.68,17162.03,2020-01-14,1
PRD00244,Dairy Item 244,Grocery,Dairy,Samsung,179.73,129.82,2020-11-10,1
PRD00245,Audio Item 245,Electronics,Audio,Bata,16909.06,11693.22,2022-03-27,1
PRD00246,Nutrition Item 246,Sports & Fitness,Nutrition,Samsung,937.93,528.15,2020-11-03,1
PRD00247,Footwear Item 247,Fashion,Footwear,Whirlpool,7694.82,4622.96,2022-11-01,1
PRD00248,Decor Item 248,Home & Kitchen,Decor,Titan,1865.57,1299.92,2022-11-13,0
PRD00249,Cycling Item 249,Sports & Fitness,Cycling,Nestlé,7584.73,4931.59,2023-04-10,1
PRD00250,Staples Item 250,Grocery,Staples,Samsung,315.78,192.93,2021-02-11,1
PRD00251,Furniture Item 251,Home & Kitchen,Furniture,Nike,2880.21,1743.99,2019-09-18,1
PRD00252,Mens Wear Item 252,Fashion,Mens Wear,Nike,6488.44,4131.13,2020-04-12,1
PRD00253,Mens Wear Item 253,Fashion,Mens Wear,Apple,1320.02,859.04,2019-01-16,1
PRD00254,Accessories Item 254,Fashion,Accessories,Himalaya,304.83,146.25,2021-09-18,1
PRD00255,Audio Item 255,Electronics,Audio,Apple,10364.57,4713.56,2020-11-20,1
PRD00256,Womens Wear Item 256,Fashion,Womens Wear,Samsung,5665.01,3635.58,2019-08-02,1
PRD00257,Beverages Item 257,Grocery,Beverages,Prestige,271.07,155.96,2020-03-28,1
PRD00258,Womens Wear Item 258,Fashion,Womens Wear,Prestige,5692.68,4018.76,2022-01-07,1
PRD00259,Staples Item 259,Grocery,Staples,Sony,959.6,705.39,2020-02-02,1
PRD00260,Storage Item 260,Home & Kitchen,Storage,Adidas,14992.29,10369.27,2020-03-21,1
PRD00261,Beverages Item 261,Grocery,Beverages,Adidas,1184.05,790.73,2023-04-04,1
PRD00262,Personal Care Item 262,Grocery,Personal Care,Himalaya,1064.97,513.36,2022-05-10,1
PRD00263,Laptops Item 263,Electronics,Laptops,Bata,13453.92,7293.72,2020-08-14,1
PRD00264,Cycling Item 264,Sports & Fitness,Cycling,Titan,4617.7,3415.51,2019-08-16,1
PRD00265,Tablets Item 265,Electronics,Tablets,Apple,57156.4,27034.22,2020-03-12,1
PRD00266,Mens Wear Item 266,Fashion,Mens Wear,Titan,5865.32,3000.07,2019-08-14,1
PRD00267,Mens Wear Item 267,Fashion,Mens Wear,Nestlé,1826.11,922.31,2021-02-05,1
PRD00268,Accessories Item 268,Fashion,Accessories,Samsung,1275.11,772.41,2022-12-14,1
PRD00269,Accessories Item 269,Electronics,Accessories,Sony,44079.09,24811.14,2019-10-15,1
PRD00270,Accessories Item 270,Electronics,Accessories,LG,52917.99,31013.74,2021-07-04,1
PRD00271,Storage Item 271,Home & Kitchen,Storage,Sony,3658.18,2743.04,2023-12-28,1
PRD00272,Decor Item 272,Home & Kitchen,Decor,Whirlpool,4877.42,3170.76,2020-11-07,1
PRD00273,Cookware Item 273,Home & Kitchen,Cookware,Puma,9678.93,4652.66,2020-01-23,1
PRD00274,Tablets Item 274,Electronics,Tablets,Sony,60295.48,35658.54,2023-09-26,1
PRD00275,Nutrition Item 275,Sports & Fitness,Nutrition,Bata,11396.78,6879.99,2019-04-28,1
PRD00276,Outdoor Item 276,Sports & Fitness,Outdoor,LG,8780.62,4408.04,2021-07-23,1
